河北,#genre#
广西卫视,http://111.63.77.70/gitv_live/GXWS/GXWS.m3u8?p=GITV&area=HBYD
四川卫视,http://111.63.77.70/gitv_live/G_SICHUAN-HQ/G_SICHUAN-HQ.m3u8?p=GITV&area=HBYD
河南卫视,http://111.63.77.70/gitv_live/G_HENAN-CQ/G_HENAN-CQ.m3u8?p=GITV&area=HBYD
东南卫视,http://111.63.77.70/gitv_live/G_DONGNAN-HQ/G_DONGNAN-HQ.m3u8?p=GITV&area=HBYD
天津卫视,http://111.63.77.70/gitv_live/G_TIANJIN-MD/G_TIANJIN-MD.m3u8?p=GITV&area=HBYD
江西卫视,http://111.63.77.70/gitv_live/G_JIANGXI-CQ/G_JIANGXI-CQ.m3u8?p=GITV&area=HBYD
吉林卫视,http://111.63.77.70/gitv_live/G_JILIN/G_JILIN.m3u8?p=GITV&area=HBYD
陕西卫视,http://111.63.77.70/gitv_live/SXWS/SXWS.m3u8?p=GITV&area=HBYD
山西卫视,http://111.63.77.70/gitv_live/G_SHANXI/G_SHANXI.m3u8?p=GITV&area=HBYD
好享购物,http://111.63.77.70/gitv_live/G_HAOXIANG/G_HAOXIANG.m3u8?p=GITV&area=HBYD
贵州卫视,http://111.63.77.70/gitv_live/G_GUIZHOU-HQ/G_GUIZHOU-HQ.m3u8?p=GITV&area=HBYD
青海卫视,http://111.63.77.70/gitv_live/G_QINGHAI/G_QINGHAI.m3u8?p=GITV&area=HBYD
内蒙古卫视,http://111.63.77.70/gitv_live/G_NEIMENGGU/G_NEIMENGGU.m3u8?p=GITV&area=HBYD
云南卫视,http://111.63.77.70/gitv_live/G_YUNNAN/G_YUNNAN.m3u8?p=GITV&area=HBYD
宁夏卫视,http://111.63.77.70/gitv_live/G_NINGXIA/G_NINGXIA.m3u8?p=GITV&area=HBYD
新疆卫视,http://111.63.77.70/gitv_live/G_XINJIANG/G_XINJIANG.m3u8?p=GITV&area=HBYD
海南卫视,http://111.63.77.70/gitv_live/G_HAINAN-HQ/G_HAINAN-HQ.m3u8?p=GITV&area=HBYD
甘肃卫视,http://111.63.77.70/gitv_live/G_GANSU/G_GANSU.m3u8?p=GITV&area=HBYD
厦门卫视,http://111.63.77.70/gitv_live/G_XIAMEN/G_XIAMEN.m3u8?p=GITV&area=HBYD
南方卫视,http://111.63.77.70/gitv_live/G_NANFANG/G_NANFANG.m3u8?p=GITV&area=HBYD
兵团卫视,http://111.63.77.70/gitv_live/G_BINGTUAN/G_BINGTUAN.m3u8?p=GITV&area=HBYD
安多卫视,http://111.63.77.70/gitv_live/G_ANDUO/G_ANDUO.m3u8?p=GITV&area=HBYD
西藏卫视,http://111.63.77.70/gitv_live/G_XIZANG/G_XIZANG.m3u8?p=GITV&area=HBYD
康巴卫视,http://111.63.77.70/gitv_live/G_KANGBA/G_KANGBA.m3u8?p=GITV&area=HBYD
延边卫视,http://111.63.77.70/gitv_live/G_YANBIAN/G_YANBIAN.m3u8?p=GITV&area=HBYD
